DepartmentID,DepartmentName
1,Human Resources
2,Engineering
3,Product Management
4,Marketing
5,Product Management
6,Human Resources
7,Research and Development
8,Product Management
9,Legal
10,Research and Development
11,Training
12,Accounting
13,Services
14,Engineering
15,Business Development
16,Support
17,Training
18,Business Development
19,Sales
20,Business Development
21,Accounting
22,Engineering
23,Product Management
24,Business Development
25,Research and Development
26,Sales
27,Services
28,Research and Development
29,Accounting
30,Training
31,Marketing
32,Marketing
33,Legal
34,Engineering
35,Services
36,Research and Development
37,Sales
38,Training
39,Product Management
40,Accounting
41,Engineering
42,Legal
43,Engineering
44,Business Development
45,Support
46,Marketing
47,Research and Development
48,Accounting
49,Product Management
50,Engineering
